Rank,Team,Total_Points_Dec,Total_Points_Jan,Total_Points_PerChg,Rank_Chg,PtsChgClass_RnkChgClass,Rank_Group,Confederation
1,Belgium,1727,1325,23.28,4,Increase | Increase,Rank 1 - 30,UEFA
2,France,1726,1183,31.46,7,Increase | Increase,Rank 1 - 30,UEFA
3,Brazil,1676,1483,11.52,-1,Increase | Decrease,Rank 1 - 30,CONMEBOL
4,Croatia,1634,1048,35.86,11,Increase | Increase,Rank 1 - 30,UEFA
5,England,1631,1047,35.81,11,Increase | Increase,Rank 1 - 30,UEFA
6,Portugal,1614,1358,15.86,-3,Increase | Decrease,Rank 1 - 30,UEFA
7,Uruguay,1609,924,42.57,15,Increase | Increase,Rank 1 - 30,CONMEBOL
8,Switzerland,1599,1190,25.58,0,Increase | No Change,Rank 1 - 30,UEFA
9,Spain,1591,1231,22.63,-3,Increase | Decrease,Rank 1 - 30,UEFA
10,Denmark,1589,1099,30.84,2,Increase | Increase,Rank 1 - 30,UEFA
11,Argentina,1582,1348,14.79,-7,Increase | Decrease,Rank 1 - 30,CONMEBOL
12,Colombia,1575,1078,31.56,1,Increase | Increase,Rank 1 - 30,CONMEBOL
13,Chile,1565,1147,26.71,-3,Increase | Decrease,Rank 1 - 30,CONMEBOL
14,Sweden,1560,1000,35.9,4,Increase | Increase,Rank 1 - 30,UEFA
14,Netherlands,1560,952,38.97,7,Increase | Increase,Rank 1 - 30,UEFA
16,Germany,1558,1602,-2.82,-15,Decrease | Decrease,Rank 1 - 30,UEFA
17,Mexico,1540,1032,32.99,0,Increase | No Change,Rank 1 - 30,CONCACAF
18,Italy,1539,1052,31.64,-4,Increase | Decrease,Rank 1 - 30,UEFA
19,Wales,1525,985,35.41,0,Increase | No Change,Rank 1 - 30,UEFA
20,Poland,1518,1209,20.36,-13,Increase | Decrease,Rank 1 - 30,UEFA
20,Peru,1518,1128,25.69,-9,Increase | Decrease,Rank 1 - 30,CONMEBOL
22,Austria,1509,815,45.99,7,Increase | Increase,Rank 1 - 30,UEFA
23,Senegal,1505,875,41.86,1,Increase | Increase,Rank 1 - 30,CAF
24,Romania,1501,737,50.9,16,Increase | Increase,Rank 1 - 30,UEFA
25,USA,1497,867,42.08,0,Increase | No Change,Rank 1 - 30,CONCACAF
26,Tunisia,1493,915,38.71,-3,Increase | Decrease,Rank 1 - 30,CAF
27,Slovakia,1483,817,44.91,1,Increase | Increase,Rank 1 - 30,UEFA
28,Ukraine,1482,781,47.3,7,Increase | Increase,Rank 1 - 30,UEFA
29,Serbia,1481,756,48.95,8,Increase | Increase,Rank 1 - 30,UEFA
29,Iran,1481,797,46.19,5,Increase | Increase,Rank 1 - 30,AFC
31,Venezuela,1478,639,56.77,21,Increase | Increase,Rank 31 - 60,CONMEBOL
32,Paraguay,1476,812,44.99,-1,Increase | Decrease,Rank 31 - 60,CONMEBOL
33,Republic of Ireland,1474,798,45.86,-1,Increase | Decrease,Rank 31 - 60,UEFA
34,Bosnia and Herzegovina,1472,753,48.85,4,Increase | Increase,Rank 31 - 60,UEFA
35,Northern Ireland,1465,867,40.82,-10,Increase | Decrease,Rank 31 - 60,UEFA
36,Costa Rica,1464,831,43.24,-9,Increase | Decrease,Rank 31 - 60,CONCACAF
37,Iceland,1452,959,33.95,-17,Increase | Decrease,Rank 31 - 60,UEFA
