Rank_x,Team,Total_Points_x,Confederation_x,Rank_y,Total_Points_y,Confederation_y
1,Belgium,1727,UEFA,5,1325,UEFA
2,France,1726,UEFA,9,1183,UEFA
3,Brazil,1676,CONMEBOL,2,1483,CONMEBOL
4,Croatia,1634,UEFA,15,1048,UEFA
5,England,1631,UEFA,16,1047,UEFA
6,Portugal,1614,UEFA,3,1358,UEFA
7,Uruguay,1609,CONMEBOL,22,924,CONMEBOL
8,Switzerland,1599,UEFA,8,1190,UEFA
9,Spain,1591,UEFA,6,1231,UEFA
10,Denmark,1589,UEFA,12,1099,UEFA
11,Argentina,1582,CONMEBOL,4,1348,CONMEBOL
12,Colombia,1575,CONMEBOL,13,1078,CONMEBOL
13,Chile,1565,CONMEBOL,10,1147,CONMEBOL
14,Sweden,1560,UEFA,18,1000,UEFA
14,Netherlands,1560,UEFA,21,952,UEFA
16,Germany,1558,UEFA,1,1602,UEFA
17,Mexico,1540,CONCACAF,17,1032,CONCACAF
18,Italy,1539,UEFA,14,1052,UEFA
19,Wales,1525,UEFA,19,985,UEFA
20,Poland,1518,UEFA,7,1209,UEFA
20,Peru,1518,CONMEBOL,11,1128,CONMEBOL
22,Austria,1509,UEFA,29,815,UEFA
23,Senegal,1505,CAF,24,875,CAF
24,Romania,1501,UEFA,40,737,UEFA
25,USA,1497,CONCACAF,25,867,CONCACAF
26,Tunisia,1493,CAF,23,915,CAF
27,Slovakia,1483,UEFA,28,817,UEFA
28,Ukraine,1482,UEFA,35,781,UEFA
29,Serbia,1481,UEFA,37,756,UEFA
29,IR Iran,1481,AFC,34,797,AFC
31,Venezuela,1478,CONMEBOL,52,639,CONMEBOL
32,Paraguay,1476,CONMEBOL,31,812,CONMEBOL
33,Republic of Ireland,1474,UEFA,32,798,UEFA
34,Bosnia and Herzegovina,1472,UEFA,38,753,UEFA
35,Northern Ireland,1465,UEFA,25,867,UEFA
36,Costa Rica,1464,CONCACAF,27,831,CONCACAF
37,Iceland,1452,UEFA,20,959,UEFA
38,Scotland,1446,UEFA,32,798,UEFA
39,Turkey,1443,UEFA,41,735,UEFA
40,Morocco,1440,CAF,39,748,CAF
41,Australia,1436,AFC,36,763,AFC
42,Czech Republic,1435,UEFA,48,677,UEFA
43,Greece,1428,UEFA,47,680,UEFA
44,Nigeria,1427,CAF,51,651,CAF
44,Montenegro,1427,UEFA,46,681,UEFA
46,Bulgaria,1425,UEFA,42,719,UEFA
46,Norway,1425,UEFA,58,572,UEFA
48,Russia,1424,UEFA,62,534,UEFA
49,Congo DR,1420,CAF,43,715,CAF
50,Japan,1414,AFC,56,598,AFC
51,Hungary,1412,UEFA,54,630,UEFA
51,Ghana,1412,CAF,50,659,CAF
53,Korea Republic,1405,AFC,59,569,AFC
54,Jamaica,1404,CONCACAF,55,625,CONCACAF
55,Cameroon,1394,CAF,45,707,CAF
56,Egypt,1393,CAF,30,814,CAF
57,Ecuador,1382,CONMEBOL,68,508,CONMEBOL
58,Finland,1378,UEFA,68,508,UEFA
59,Bolivia,1374,CONMEBOL,49,674,CONMEBOL
60,Albania,1372,UEFA,60,553,UEFA
61,Burkina Faso,1371,CAF,44,709,CAF
62,Slovenia,1369,UEFA,64,529,UEFA
62,Honduras,1369,CONCACAF,67,509,CONCACAF
64,Mali,1363,CAF,71,477,CAF
65,Côte d'Ivoire,1356,CAF,61,544,CAF
66,Guinea,1354,CAF,66,510,CAF
67,Algeria,1347,CAF,57,585,CAF
68,FYR Macedonia,1343,UEFA,73,446,UEFA
69,Saudi Arabia,1335,AFC,65,522,AFC
70,El Salvador,1327,CONCACAF,90,383,CONCACAF
71,Panama,1326,CONCACAF,53,636,CONCACAF
72,South Africa,1325,CAF,78,436,CAF
72,Cape Verde Islands,1325,CAF,63,530,CAF
74,Syria,1322,AFC,76,442,AFC
75,Uganda,1320,CAF,73,446,CAF
76,Belarus,1317,UEFA,93,372,UEFA
76,China PR,1317,AFC,70,504,AFC
78,Canada,1314,CONCACAF,95,371,CONCACAF
79,United Arab Emirates,1309,AFC,78,436,AFC
80,Curacao,1306,CONCACAF,84,407,CONCACAF
81,Lebanon,1296,AFC,84,407,AFC
82,Oman,1295,AFC,101,335,AFC
83,Zambia,1292,CAF,72,466,CAF
84,Congo,1280,CAF,96,369,CAF
85,Gabon,1277,CAF,93,372,CAF
86,Luxembourg,1276,UEFA,84,407,UEFA
86,Cyprus,1276,UEFA,92,373,UEFA
88,Iraq,1271,AFC,82,410,AFC
89,Georgia,1269,UEFA,104,322,UEFA
90,Israel,1265,UEFA,99,355,UEFA
